bytes_uploaded,duration_s,file_count,recid,error,start_ts,status,zip_used
77168640,7.856,5,87243,,1772309372.0622814,ok,False
262886400,70.384,9,87244,,1772309315.2162385,ok,False
3505152000,2.145,15,87246,"https://test1.physics.du.cesnet.cz/api/particles?type=particles&_external=True : {""status"": 400, ""message"": ""Invalid value 2 fermion.""}",1772309385.6114135,failed,False
3505152000,3.152,15,87246,"https://test1.physics.du.cesnet.cz/api/particles?type=particles&_external=True : {""status"": 400, ""message"": ""Invalid value 2 fermion.""}",1772309389.7647607,failed,False
362864640,15.376,10,87241,,1772309378.0869799,ok,False
3505152000,0.076,15,87246,"https://test1.physics.du.cesnet.cz/api/particles?type=particles&_external=True : {""status"": 400, ""message"": ""Invalid value 2 fermion.""}",1772309396.9432425,failed,False
98780160,7.018,5,87247,Failures in HTTP transport (6 sub-exceptions),1772309393.4744983,failed,False
402063360,20.628,10,87245,Failures in HTTP transport (6 sub-exceptions),1772309379.930788,failed,False
418621440,34.945,14,87240,Failures in HTTP transport (5 sub-exceptions),1772309372.6168005,failed,False
415180800,16.057,10,87249,,1772309407.5679991,ok,False
274391040,0.107,2,87250,"https://test1.physics.du.cesnet.cz/api/particles?type=particles&_external=True : {""status"": 400, ""message"": ""Invalid value 2 fermion.""}",1772309423.6367788,failed,False
393492480,27.657,13,87248,Failures in HTTP transport (3 sub-exceptions),1772309397.0239825,failed,False
274391040,0.08,2,87250,"https://test1.physics.du.cesnet.cz/api/particles?type=particles&_external=True : {""status"": 400, ""message"": ""Invalid value 2 fermion.""}",1772309425.7519867,failed,False
98780160,31.581,5,87247,Failures in HTTP transport (3 sub-exceptions),1772309402.4969056,failed,False
402063360,31.591,10,87245,Failures in HTTP transport (2 sub-exceptions),1772309402.5694065,failed,False
274391040,10.184,2,87250,"https://test1.physics.du.cesnet.cz/api/particles?type=particles&_external=True : {""status"": 400, ""message"": ""Invalid value 2 fermion.""}",1772309429.840746,failed,False
98780160,8.63,5,87247,Failures in HTTP transport (6 sub-exceptions),1772309438.0827992,failed,False
393492480,28.855,13,87248,,1772309426.6906886,ok,False
402063360,19.331,10,87245,,1772309438.1646817,ok,False
259153920,3.142,2,87253,"https://test1.physics.du.cesnet.cz/api/particles?type=particles&_external=True : {""status"": 400, ""message"": ""Invalid value 2 fermion.""}",1772309455.553601,failed,False
259153920,0.093,2,87253,"https://test1.physics.du.cesnet.cz/api/particles?type=particles&_external=True : {""status"": 400, ""message"": ""Invalid value 2 fermion.""}",1772309460.7021978,failed,False
259153920,4.102,2,87253,"https://test1.physics.du.cesnet.cz/api/particles?type=particles&_external=True : {""status"": 400, ""message"": ""Invalid value 2 fermion.""}",1772309464.8015676,failed,False
426470400,25.546,10,87252,,1772309446.7202659,ok,False
467097600,34.813,15,87251,Failures in HTTP transport (5 sub-exceptions),1772309440.0303178,failed,False
79902720,28.19,5,87254,Failures in HTTP transport (6 sub-exceptions),1772309457.5056102,failed,False
133094400,19.009,5,87255,Failures in HTTP transport (6 sub-exceptions),1772309468.9098244,failed,False
133094400,153.586,5,87255,,1772309489.9287996,ok,False
364032000,0.119,5,87257,"https://test1.physics.du.cesnet.cz/api/particles?type=particles&_external=True : {""status"": 400, ""message"": ""Invalid value 2 fermion.""}",1772309643.521781,failed,False
467097600,167.433,15,87251,,1772309476.8523939,ok,False
